epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,31.4471,1.4781,1.10112,1.91822,1.635,0.7728,0.59091,0.66314,0.3849,0.494,0.31109,0.22339,0.09252,1.4829,1.08184,1.74655,1.45481,0.0008516,0.0008516,0.0008516
31,32.4945,1.43163,1.03607,1.79434,1.59424,0.7728,0.59091,0.66314,0.3849,0.494,0.31109,0.22339,0.09252,1.4829,1.08184,1.74655,1.45481,0.000812,0.000812,0.000812
32,33.5815,1.4604,0.99403,1.85382,1.59374,0.69399,0.61906,0.63918,0.40839,0.53055,0.36364,0.34105,0.16042,1.42873,1.06408,1.61834,1.43974,0.0007724,0.0007724,0.0007724
33,34.6496,1.47468,1.04107,1.97669,1.59121,0.69399,0.61906,0.63918,0.40839,0.53055,0.36364,0.34105,0.16042,1.42873,1.06408,1.61834,1.43974,0.0007328,0.0007328,0.0007328
34,35.7079,1.33497,0.94672,1.68277,1.51828,0.69399,0.61906,0.63918,0.40839,0.53055,0.36364,0.34105,0.16042,1.42873,1.06408,1.61834,1.43974,0.0006932,0.0006932,0.0006932
35,36.7732,1.26667,0.95336,1.69471,1.45946,0.82056,0.68182,0.7242,0.45815,0.56175,0.27273,0.25981,0.12865,1.43251,1.13297,1.4681,1.41811,0.0006536,0.0006536,0.0006536
36,37.8263,1.29348,1.06044,1.66831,1.4843,0.82056,0.68182,0.7242,0.45815,0.56175,0.27273,0.25981,0.12865,1.43251,1.13297,1.4681,1.41811,0.000614,0.000614,0.000614
37,38.9577,1.3921,0.94882,1.97686,1.56794,0.76122,0.72466,0.68257,0.46131,0.56825,0.45455,0.37356,0.14082,1.30983,1.05127,1.40858,1.31545,0.0005744,0.0005744,0.0005744
38,40.0679,1.33619,0.91872,1.64322,1.53524,0.76122,0.72466,0.68257,0.46131,0.56825,0.45455,0.37356,0.14082,1.30983,1.05127,1.40858,1.31545,0.0005348,0.0005348,0.0005348
39,41.1928,1.31637,0.9751,1.68046,1.56273,0.78818,0.77273,0.70967,0.48463,0.68693,0.59091,0.49148,0.15261,1.24909,1.02063,1.4508,1.27991,0.0004952,0.0004952,0.0004952
40,42.3087,1.33663,1.04085,1.67851,1.51823,0.78818,0.77273,0.70967,0.48463,0.68693,0.59091,0.49148,0.15261,1.24909,1.02063,1.4508,1.27991,0.0004556,0.0004556,0.0004556
41,43.7096,1.40722,0.9565,1.91217,1.66269,0.74056,0.72727,0.75317,0.48861,0.67469,0.56625,0.47629,0.14784,1.24022,1.01137,1.51003,1.29669,0.000416,0.000416,0.000416
42,44.7993,1.22143,1.02728,1.81278,1.46015,0.74056,0.72727,0.75317,0.48861,0.67469,0.56625,0.47629,0.14784,1.24022,1.01137,1.51003,1.29669,0.0003764,0.0003764,0.0003764
43,45.8485,1.27311,0.99389,1.90864,1.51623,0.74056,0.72727,0.75317,0.48861,0.67469,0.56625,0.47629,0.14784,1.24022,1.01137,1.51003,1.29669,0.0003368,0.0003368,0.0003368
44,46.9066,1.1946,0.95111,1.77048,1.42186,0.83179,0.63636,0.75216,0.49225,0.51795,0.45455,0.3033,0.1252,1.20673,0.96635,1.5837,1.2761,0.0002972,0.0002972,0.0002972
45,47.93,1.15071,0.93185,1.69949,1.37809,0.83179,0.63636,0.75216,0.49225,0.51795,0.45455,0.3033,0.1252,1.20673,0.96635,1.5837,1.2761,0.0002576,0.0002576,0.0002576
46,48.9681,1.1943,0.96613,1.7637,1.43745,0.79524,0.72727,0.80294,0.54082,0.53902,0.45455,0.31432,0.14485,1.12758,0.94935,1.59898,1.22003,0.000218,0.000218,0.000218
47,50.0648,1.20153,0.97723,1.74828,1.46638,0.79524,0.72727,0.80294,0.54082,0.53902,0.45455,0.31432,0.14485,1.12758,0.94935,1.59898,1.22003,0.0001784,0.0001784,0.0001784
48,51.1469,1.18974,1.01046,1.69917,1.42008,0.73652,0.68182,0.76258,0.5245,0.49953,0.40836,0.32617,0.17036,1.18993,0.95991,1.61248,1.25878,0.0001388,0.0001388,0.0001388
49,52.2318,1.17855,0.95522,1.68126,1.418,0.73652,0.68182,0.76258,0.5245,0.49953,0.40836,0.32617,0.17036,1.18993,0.95991,1.61248,1.25878,9.92e-05,9.92e-05,9.92e-05
50,53.3212,1.15901,0.95155,1.7277,1.40539,0.73652,0.68182,0.76258,0.5245,0.49953,0.40836,0.32617,0.17036,1.18993,0.95991,1.61248,1.25878,5.96e-05,5.96e-05,5.96e-05
