epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,34.6602,1.1137,0.89747,1.19984,1.26937,0.90473,0.90445,0.89046,0.67055,0.81276,0.64286,0.62146,0.22441,1.00561,0.84168,0.90931,1.137,0.0014258,0.0014258,0.0014258
31,35.756,1.12935,0.85689,1.20814,1.29726,0.91928,0.88095,0.8883,0.59424,0.6942,0.66667,0.62517,0.19592,1.1646,0.85416,1.0389,1.32313,0.001406,0.001406,0.001406
32,36.861,1.10438,0.87836,1.13661,1.296,0.94321,0.88095,0.89436,0.62937,0.73897,0.69048,0.65014,0.22025,1.06085,0.84056,0.97702,1.21251,0.0013862,0.0013862,0.0013862
33,37.9508,1.15414,0.91539,1.20953,1.30288,0.92052,0.88095,0.88676,0.62166,0.821,0.78571,0.72442,0.25695,1.05809,0.82554,0.92629,1.2072,0.0013664,0.0013664,0.0013664
34,39.0396,1.17205,0.85415,1.2098,1.34126,0.89216,0.88095,0.90065,0.65246,0.86805,0.85714,0.86724,0.28786,1.01231,0.79538,0.91306,1.16402,0.0013466,0.0013466,0.0013466
35,40.1491,1.1194,0.84741,1.16382,1.27896,0.90199,0.88095,0.89843,0.65466,0.85156,0.80952,0.77983,0.2469,0.95766,0.83655,0.90935,1.12203,0.0013268,0.0013268,0.0013268
36,41.255,1.13742,0.85106,1.14008,1.27211,0.90199,0.88095,0.89843,0.65466,0.85156,0.80952,0.77983,0.2469,0.95766,0.83655,0.90935,1.12203,0.001307,0.001307,0.001307
37,42.4243,1.07311,0.81908,1.12929,1.26264,0.90453,0.83333,0.89941,0.62487,0.78608,0.7381,0.73923,0.24477,1.04498,0.82254,0.92871,1.20185,0.0012872,0.0012872,0.0012872
38,43.61,1.04542,0.77852,1.11697,1.23139,0.80983,0.91261,0.89386,0.65993,0.93183,0.65107,0.78666,0.25524,1.00148,0.78544,0.93331,1.15135,0.0012674,0.0012674,0.0012674
39,44.7706,1.09401,0.78795,1.13337,1.31151,0.82737,0.92857,0.91329,0.68486,0.92874,0.78571,0.83043,0.31241,0.90097,0.75751,0.89386,1.06552,0.0012476,0.0012476,0.0012476
40,45.9546,1.05838,0.7696,1.04315,1.22782,0.84711,0.9235,0.90856,0.72162,0.83445,0.78571,0.81475,0.30837,0.84054,0.75451,0.88124,1.04938,0.0012278,0.0012278,0.0012278
41,47.1545,1.05668,0.77229,1.07319,1.24076,0.91567,0.85714,0.90886,0.70459,0.89067,0.80952,0.86199,0.35248,0.83868,0.72823,0.86241,1.06323,0.001208,0.001208,0.001208
