epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.793226,1.67325,5.18439,2.88738,1.85225,0.00933,0.63636,0.12289,0.04428,0.00067,0.04545,0.00036,0.00011,2.1257,5.00493,2.77351,2.21308,0.00012,0.00012,0.00012
2,1.37452,1.57002,3.06413,2.73411,1.76085,0.01333,0.90909,0.37544,0.2636,0.006,0.40909,0.23451,0.09613,0.92789,1.30711,2.51165,1.15794,0.000257426,0.000257426,0.000257426
3,1.96019,1.26817,1.60309,2.59236,1.44072,0.014,0.95455,0.58664,0.38413,0.008,0.54545,0.2588,0.08407,0.79235,1.06191,2.41447,0.93789,0.00039208,0.00039208,0.00039208
4,2.53698,1.22732,1.30473,2.41042,1.39431,0.014,0.95455,0.70347,0.48997,0.00933,0.63636,0.17449,0.0516,0.75357,1.17523,2.36904,0.91106,0.000523962,0.000523962,0.000523962
5,3.12811,1.33471,1.14149,2.27967,1.44526,0.014,0.95455,0.6536,0.33515,0.00667,0.45455,0.09017,0.03349,1.09194,1.59957,2.35903,1.21001,0.000653072,0.000653072,0.000653072
6,3.68903,1.28281,1.12032,2.17534,1.36313,0.59542,0.60245,0.6664,0.34719,0.00667,0.45455,0.08059,0.02506,1.30385,1.43181,2.17446,1.41442,0.00077941,0.00077941,0.00077941
7,4.2395,1.18057,1.04852,2.01755,1.3451,0.59542,0.60245,0.6664,0.34719,0.00667,0.45455,0.08059,0.02506,1.30385,1.43181,2.17446,1.41442,0.000902976,0.000902976,0.000902976
8,4.80438,1.39913,1.03074,2.01574,1.4373,0.50409,0.41615,0.53527,0.33836,0.44898,0.37069,0.39264,0.12341,1.23686,1.12899,2.06671,1.18502,0.00102377,0.00102377,0.00102377
9,5.36154,1.29156,0.98683,1.90207,1.42005,0.75525,0.45455,0.57382,0.39998,0.76045,0.27273,0.39701,0.14567,1.10252,1.05715,1.83556,1.14697,0.00114179,0.00114179,0.00114179
10,5.91327,1.35518,1.2322,1.94042,1.46586,0.75525,0.45455,0.57382,0.39998,0.76045,0.27273,0.39701,0.14567,1.10252,1.05715,1.83556,1.14697,0.00125704,0.00125704,0.00125704
11,6.47761,1.38546,0.93653,1.8061,1.50394,0.76895,0.60567,0.71504,0.42682,0.65004,0.5,0.54376,0.18741,1.29437,0.86684,1.63984,1.36907,0.00136952,0.00136952,0.00136952
12,7.03028,1.29009,0.98287,1.73443,1.41792,0.76895,0.60567,0.71504,0.42682,0.65004,0.5,0.54376,0.18741,1.29437,0.86684,1.63984,1.36907,0.00147923,0.00147923,0.00147923
13,7.59327,1.27776,0.92096,1.54906,1.34182,0.80992,0.59091,0.68625,0.47445,0.60854,0.45455,0.43419,0.14525,1.13124,0.94613,1.41423,1.29125,0.00158616,0.00158616,0.00158616
14,8.13115,1.23853,1.07848,1.54947,1.35963,0.80992,0.59091,0.68625,0.47445,0.60854,0.45455,0.43419,0.14525,1.13124,0.94613,1.41423,1.29125,0.00169032,0.00169032,0.00169032
15,8.67044,1.33893,0.8979,1.64738,1.41986,0.89259,0.5,0.70413,0.40811,0.47867,0.27273,0.25149,0.09463,1.45663,0.99453,1.48393,1.32592,0.0017228,0.0017228,0.0017228
16,9.21819,1.35438,1.00885,1.5441,1.39314,0.89259,0.5,0.70413,0.40811,0.47867,0.27273,0.25149,0.09463,1.45663,0.99453,1.48393,1.32592,0.001703,0.001703,0.001703
17,9.76634,1.50903,1.05129,1.84566,1.5901,0.55792,0.63636,0.56044,0.32445,0.58773,0.45455,0.38819,0.1467,1.42983,0.93683,1.97907,1.47155,0.0016832,0.0016832,0.0016832
18,10.3129,1.28618,0.93326,1.61246,1.36192,0.55792,0.63636,0.56044,0.32445,0.58773,0.45455,0.38819,0.1467,1.42983,0.93683,1.97907,1.47155,0.0016634,0.0016634,0.0016634
19,10.8682,1.33094,0.95808,1.70841,1.43015,0.55792,0.63636,0.56044,0.32445,0.58773,0.45455,0.38819,0.1467,1.42983,0.93683,1.97907,1.47155,0.0016436,0.0016436,0.0016436
20,11.4243,1.37909,0.97718,1.62713,1.462,0.74511,0.66492,0.64163,0.43852,0.71752,0.63636,0.61931,0.25,1.3002,0.87056,1.64989,1.32719,0.0016238,0.0016238,0.0016238
21,11.9844,1.33329,0.97683,1.56185,1.36563,0.74511,0.66492,0.64163,0.43852,0.71752,0.63636,0.61931,0.25,1.3002,0.87056,1.64989,1.32719,0.001604,0.001604,0.001604
22,12.5524,1.26725,0.85265,1.43564,1.36344,0.7848,0.68182,0.74083,0.44149,0.4904,0.54545,0.36457,0.1184,1.27665,0.94425,1.94441,1.30695,0.0015842,0.0015842,0.0015842
23,13.0916,1.27101,0.91855,1.51691,1.39223,0.7848,0.68182,0.74083,0.44149,0.4904,0.54545,0.36457,0.1184,1.27665,0.94425,1.94441,1.30695,0.0015644,0.0015644,0.0015644
24,13.6509,1.28503,0.81855,1.43561,1.37116,0.88908,0.77273,0.81529,0.57586,0.73467,0.63636,0.66521,0.24094,0.97834,1.01292,1.73199,1.04965,0.0015446,0.0015446,0.0015446
25,14.2197,1.20314,0.86353,1.39467,1.31136,0.88908,0.77273,0.81529,0.57586,0.73467,0.63636,0.66521,0.24094,0.97834,1.01292,1.73199,1.04965,0.0015248,0.0015248,0.0015248
26,14.7963,1.19749,0.78555,1.38515,1.30115,0.78033,0.72727,0.76119,0.51269,0.72789,0.54545,0.61551,0.19905,0.9468,1.02216,1.52988,0.9762,0.001505,0.001505,0.001505
27,15.3422,1.25173,0.91862,1.45001,1.3606,0.78033,0.72727,0.76119,0.51269,0.72789,0.54545,0.61551,0.19905,0.9468,1.02216,1.52988,0.9762,0.0014852,0.0014852,0.0014852
28,15.88,1.22208,0.8767,1.37895,1.30774,0.78033,0.72727,0.76119,0.51269,0.72789,0.54545,0.61551,0.19905,0.9468,1.02216,1.52988,0.9762,0.0014654,0.0014654,0.0014654
29,16.4333,1.16772,0.81159,1.30433,1.29444,0.7891,0.68036,0.76712,0.50814,0.7941,0.59091,0.66395,0.20767,1.04935,1.06553,1.50518,1.0391,0.0014456,0.0014456,0.0014456
30,16.9761,1.17126,0.79698,1.33874,1.28217,0.7891,0.68036,0.76712,0.50814,0.7941,0.59091,0.66395,0.20767,1.04935,1.06553,1.50518,1.0391,0.0014258,0.0014258,0.0014258
31,17.5333,1.21597,0.83724,1.39005,1.34516,0.74999,0.77273,0.79841,0.57814,0.91023,0.59091,0.77456,0.29863,1.05216,0.98556,1.23305,1.05049,0.001406,0.001406,0.001406
32,18.0981,1.1627,0.83487,1.3879,1.30736,0.74999,0.77273,0.79841,0.57814,0.91023,0.59091,0.77456,0.29863,1.05216,0.98556,1.23305,1.05049,0.0013862,0.0013862,0.0013862
33,18.6749,1.12843,0.82588,1.34895,1.29601,0.92825,0.77273,0.84986,0.65649,0.81668,0.68182,0.72414,0.27236,0.81073,1.06879,1.04288,0.92151,0.0013664,0.0013664,0.0013664
34,19.2423,1.04204,0.83087,1.27111,1.21226,0.92825,0.77273,0.84986,0.65649,0.81668,0.68182,0.72414,0.27236,0.81073,1.06879,1.04288,0.92151,0.0013466,0.0013466,0.0013466
35,19.8076,1.11184,0.73675,1.33952,1.29134,0.92825,0.77273,0.84986,0.65649,0.81668,0.68182,0.72414,0.27236,0.81073,1.06879,1.04288,0.92151,0.0013268,0.0013268,0.0013268
36,20.3905,1.10495,0.77351,1.25431,1.29131,0.92604,0.77273,0.83946,0.66812,0.81624,0.68182,0.74791,0.30864,0.77638,0.99325,1.0044,0.95353,0.001307,0.001307,0.001307
37,20.9513,1.11562,0.76864,1.27944,1.33264,0.92604,0.77273,0.83946,0.66812,0.81624,0.68182,0.74791,0.30864,0.77638,0.99325,1.0044,0.95353,0.0012872,0.0012872,0.0012872
38,21.52,1.10948,0.68768,1.19805,1.26694,0.84422,0.81818,0.82771,0.58128,0.94707,0.63636,0.79166,0.25032,1.04489,1.04851,1.22851,1.07573,0.0012674,0.0012674,0.0012674
39,22.0639,1.11175,0.72873,1.2449,1.27983,0.84422,0.81818,0.82771,0.58128,0.94707,0.63636,0.79166,0.25032,1.04489,1.04851,1.22851,1.07573,0.0012476,0.0012476,0.0012476
40,22.6154,1.02429,0.7142,1.22122,1.22366,0.96903,0.68182,0.8203,0.61522,0.78548,0.86364,0.85973,0.30543,0.93972,0.97526,1.19589,1.0596,0.0012278,0.0012278,0.0012278
41,23.1667,0.94669,0.68823,1.15078,1.15182,0.96903,0.68182,0.8203,0.61522,0.78548,0.86364,0.85973,0.30543,0.93972,0.97526,1.19589,1.0596,0.001208,0.001208,0.001208
42,23.7207,1.10623,0.80051,1.24652,1.29352,1,0.76516,0.85308,0.69071,0.94064,0.72066,0.83664,0.3474,0.79733,0.98549,1.09646,0.92805,0.0011882,0.0011882,0.0011882
43,24.2892,0.96986,0.6885,1.12611,1.18277,1,0.76516,0.85308,0.69071,0.94064,0.72066,0.83664,0.3474,0.79733,0.98549,1.09646,0.92805,0.0011684,0.0011684,0.0011684
44,24.8578,1.06061,0.71564,1.19069,1.24489,1,0.76516,0.85308,0.69071,0.94064,0.72066,0.83664,0.3474,0.79733,0.98549,1.09646,0.92805,0.0011486,0.0011486,0.0011486
45,25.4283,1.08663,0.73191,1.22704,1.26905,0.94363,0.76137,0.86293,0.68775,0.94379,0.76364,0.83529,0.35694,0.81428,0.99796,1.07849,0.92222,0.0011288,0.0011288,0.0011288
46,25.9956,1.00159,0.68384,1.13907,1.21779,0.94363,0.76137,0.86293,0.68775,0.94379,0.76364,0.83529,0.35694,0.81428,0.99796,1.07849,0.92222,0.001109,0.001109,0.001109
47,26.5812,0.98506,0.79048,1.27449,1.23957,0.94159,0.72727,0.84771,0.63132,0.82221,0.81818,0.87358,0.39025,0.90008,0.97068,1.07718,0.97543,0.0010892,0.0010892,0.0010892
48,27.1356,1.04409,0.6933,1.1484,1.21857,0.94159,0.72727,0.84771,0.63132,0.82221,0.81818,0.87358,0.39025,0.90008,0.97068,1.07718,0.97543,0.0010694,0.0010694,0.0010694
49,27.6914,0.97302,0.75648,1.07135,1.19491,1,0.80511,0.86867,0.60951,0.9295,0.77273,0.81459,0.30999,0.94064,0.84343,1.11494,1.01208,0.0010496,0.0010496,0.0010496
50,28.2381,0.96272,0.77719,1.0904,1.18964,1,0.80511,0.86867,0.60951,0.9295,0.77273,0.81459,0.30999,0.94064,0.84343,1.11494,1.01208,0.0010298,0.0010298,0.0010298
51,28.795,1.01713,0.67209,1.13986,1.20087,1,0.80511,0.86867,0.60951,0.9295,0.77273,0.81459,0.30999,0.94064,0.84343,1.11494,1.01208,0.00101,0.00101,0.00101
52,29.3585,0.94196,0.64432,1.07314,1.19642,0.94609,0.81818,0.89019,0.67915,0.88593,0.86364,0.86068,0.35744,0.83465,0.90058,0.99982,0.96364,0.0009902,0.0009902,0.0009902
53,29.9126,0.95761,0.72944,1.10901,1.20207,0.94609,0.81818,0.89019,0.67915,0.88593,0.86364,0.86068,0.35744,0.83465,0.90058,0.99982,0.96364,0.0009704,0.0009704,0.0009704
54,30.4649,1.00808,0.79173,1.1533,1.24554,0.99011,0.86364,0.90119,0.69073,0.89755,0.79705,0.84326,0.37821,0.80056,1.05468,0.93225,0.97558,0.0009506,0.0009506,0.0009506
55,31.0413,0.96223,0.69857,1.0788,1.16702,0.99011,0.86364,0.90119,0.69073,0.89755,0.79705,0.84326,0.37821,0.80056,1.05468,0.93225,0.97558,0.0009308,0.0009308,0.0009308
56,31.6243,0.92948,0.64224,1.0228,1.14925,0.83025,0.72727,0.8072,0.5908,0.70519,0.76145,0.75485,0.33385,0.88622,1.0861,1.09429,1.01848,0.000911,0.000911,0.000911
57,32.1697,0.9767,0.6578,1.1049,1.16209,0.83025,0.72727,0.8072,0.5908,0.70519,0.76145,0.75485,0.33385,0.88622,1.0861,1.09429,1.01848,0.0008912,0.0008912,0.0008912
