epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,16.7536,1.63453,2.42588,1.73875,0.95301,0.44444,0.62681,0.32589,1.61828,2.07619,1.40879,0.0005744,0.0005744,0.0005744
38,17.1385,1.69931,2.75467,1.71049,0.95301,0.44444,0.62681,0.32589,1.61828,2.07619,1.40879,0.0005348,0.0005348,0.0005348
39,17.5274,1.78297,2.58481,1.82615,0.95301,0.44444,0.62681,0.32589,1.61828,2.07619,1.40879,0.0004952,0.0004952,0.0004952
40,17.9163,1.62931,2.56719,1.59308,0.95301,0.44444,0.62681,0.32589,1.61828,2.07619,1.40879,0.0004556,0.0004556,0.0004556
41,18.5653,1.80196,2.56271,1.83765,0.95301,0.44444,0.62681,0.32589,1.61828,2.07619,1.40879,0.000416,0.000416,0.000416
42,18.99,1.73157,2.55091,1.59408,0.93406,0.66667,0.80395,0.69652,0.61803,1.66835,0.83991,0.0003764,0.0003764,0.0003764
43,19.3734,1.31346,2.56266,1.46893,0.93406,0.66667,0.80395,0.69652,0.61803,1.66835,0.83991,0.0003368,0.0003368,0.0003368
44,19.7549,1.618,2.61092,1.65419,0.93406,0.66667,0.80395,0.69652,0.61803,1.66835,0.83991,0.0002972,0.0002972,0.0002972
45,20.1422,1.29103,2.49824,1.58813,0.93406,0.66667,0.80395,0.69652,0.61803,1.66835,0.83991,0.0002576,0.0002576,0.0002576
46,20.5326,1.48016,2.38675,1.70029,0.93406,0.66667,0.80395,0.69652,0.61803,1.66835,0.83991,0.000218,0.000218,0.000218
47,20.9297,1.5413,2.48853,1.62396,0.93406,0.66667,0.80395,0.69652,0.61803,1.66835,0.83991,0.0001784,0.0001784,0.0001784
48,21.318,1.30565,2.40513,1.45623,0.93406,0.66667,0.80395,0.69652,0.61803,1.66835,0.83991,0.0001388,0.0001388,0.0001388
49,21.7048,1.24272,2.40264,1.46811,0.93406,0.66667,0.80395,0.69652,0.61803,1.66835,0.83991,9.92e-05,9.92e-05,9.92e-05
50,22.0907,1.29765,2.39474,1.44337,0.93406,0.66667,0.80395,0.69652,0.61803,1.66835,0.83991,5.96e-05,5.96e-05,5.96e-05
