epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.40128,1.85992,5.39089,2.88398,2.06266,0.01067,0.72727,0.09699,0.05274,0.002,0.13636,0.00401,0.0006,2.08283,3.99005,2.75301,2.18723,0.00054,0.00054,0.00054
2,2.4093,1.792,5.70768,2.86272,1.98497,0.01067,0.72727,0.09699,0.05274,0.002,0.13636,0.00401,0.0006,2.08283,3.99005,2.75301,2.18723,0.00107822,0.00107822,0.00107822
3,3.42703,1.98104,5.59123,2.94528,2.11604,0.01133,0.77273,0.23536,0.1606,0.00533,0.36364,0.18639,0.0871,1.68178,2.44191,2.64275,1.87287,0.00159426,0.00159426,0.00159426
4,4.43541,1.93911,5.54051,2.8812,2.11329,0.01133,0.77273,0.23536,0.1606,0.00533,0.36364,0.18639,0.0871,1.68178,2.44191,2.64275,1.87287,0.0018812,0.0018812,0.0018812
5,5.43048,1.9882,5.73266,2.89758,2.12683,0.08588,0.45455,0.23701,0.14486,0.42548,0.22727,0.2029,0.08029,1.7104,2.45631,2.63173,1.86801,0.0018416,0.0018416,0.0018416
6,6.38136,1.89211,5.20803,2.97204,2.02435,0.08588,0.45455,0.23701,0.14486,0.42548,0.22727,0.2029,0.08029,1.7104,2.45631,2.63173,1.86801,0.001802,0.001802,0.001802
7,7.34138,1.85677,5.40036,2.92662,1.99065,0.7074,0.11312,0.26536,0.15252,0.50478,0.04545,0.16681,0.08325,1.78387,2.19471,2.61424,1.92281,0.0017624,0.0017624,0.0017624
8,8.30723,1.94348,5.41628,2.87336,2.15599,0.7074,0.11312,0.26536,0.15252,0.50478,0.04545,0.16681,0.08325,1.78387,2.19471,2.61424,1.92281,0.0017228,0.0017228,0.0017228
9,9.35291,1.87436,5.67985,2.85026,2.01777,0.30442,0.18182,0.14655,0.0515,0.01102,0.09091,0.00358,0.00106,2.55172,3.88046,3.26118,2.80973,0.0016832,0.0016832,0.0016832
10,10.3543,2.32634,2.7713,2.86812,2.18384,0.30442,0.18182,0.14655,0.0515,0.01102,0.09091,0.00358,0.00106,2.55172,3.88046,3.26118,2.80973,0.0016436,0.0016436,0.0016436
11,11.3532,2.41478,2.69006,2.88652,2.22295,0.30442,0.18182,0.14655,0.0515,0.01102,0.09091,0.00358,0.00106,2.55172,3.88046,3.26118,2.80973,0.001604,0.001604,0.001604
12,12.4163,2.31843,1.898,2.83202,2.24641,0.33333,0.18182,0.17379,0.08068,0.02771,0.22727,0.01088,0.00282,2.64019,2.21328,12.1428,4.58015,0.0015644,0.0015644,0.0015644
13,13.5023,2.27247,1.5601,2.74849,2.21448,0.33333,0.18182,0.17379,0.08068,0.02771,0.22727,0.01088,0.00282,2.64019,2.21328,12.1428,4.58015,0.0015248,0.0015248,0.0015248
